Lebanon,Fair,Tier 2 Watch List
Lesotho,Poor,Tier 2 Watch List
Liberia,Unsuitable,Tier 2 Watch List
Libya,Poor,Tier 3
Liechtenstein,Excellent,
Lithuania,Good,Tier 2
Luxembourg,Excellent,Tier 1
Macedonia,Fair,Tier 1
Madagascar,Unsuitable,Tier 2 Watch List
Malawi,Unsuitable,Tier 2
Malaysia,Good,Tier 2 Watch List
Maldives,Fair,Tier 2 Watch List
Mali,Unsuitable,Tier 2 Watch List
Malta,Good,Tier 2
Marshall Islands,Poor,Tier 2 Watch List
Mauritania,Unsuitable,Tier 3
Mauritius,Fair,Tier 2
Mexico,Fair,Tier 2
Moldova,Fair,Tier 2
Monaco,Excellent,
Mongolia,Poor,Tier 2
Montenegro,Fair,Tier 2
Morocco,Poor,Tier 2 Watch List
Mozambique,Unsuitable,Tier 2
Namibia,Fair,Tier 2 Watch List
Nauru,Poor,
Nepal,Unsuitable,Tier 2
Netherlands,Excellent,Tier 1
New Zealand,Excellent,Tier 1
Nicaragua,Poor,Tier 1
Niger,Unsuitable,Tier 2
Nigeria,Unsuitable,Tier 2
North Korea,Unsuitable,Tier 3
Norway,Excellent,Tier 1
Oman,Fair,Tier 2
Pakistan,Poor,Tier 2
Palau,Poor,Tier 2
Panama,Fair,Tier 2
Papua New Guinea,Poor,Tier 3
Paraguay,Poor,Tier 2
Peru,Fair,Tier 2
Philippines,Fair,Tier 2
Poland,Good,Tier 1
Portugal,Excellent,Tier 2
Qatar,Good,Tier 2
Republic of Congo,,Tier 2
Republic of Serbia,Fair,Tier 2
Romania,Fair,Tier 2
Russia,Fair,Tier 3 Auto-Downgrade
Rwanda,Poor,Tier 2 Watch List
Saint Kitts and Nevis,Fair,Tier 2 Watch List
Saint Lucia,Fair,Tier 2
Saint Vincent and the Grenadines,Fair,Tier 2
Samoa,Fair,Tier 3
San Marino,Excellent,Tier 2
Sao Tome and Principe,Poor,
Saudi Arabia,Good,
Senegal,Poor,
Seychelles,Good,Tier 2 Watch List
Sierra Leone,Unsuitable,Tier 2
Singapore,Good,Tier 2
Slovakia,Good,Tier 1
Slovenia,Good,Tier 1
Solomon Islands,,Tier 2 Watch List
Somalia,Unsuitable,Special Case
South Africa,Good,Tier 2
South Korea,Good,Tier 1
South Sudan,,Tier 2 Watch List
Spain,Excellent,Tier 1
Sri Lanka,Fair,Tier 2 Watch List
Sudan,Unsuitable,Tier 3
Suriname,Unsuitable,Tier 2 Watch List
Swaziland,Poor,Tier 2
Sweden,Excellent,Tier 1
Switzerland,Excellent,Tier 2
Syria,Fair,Tier 3
Taiwan,Excellent,Tier 1
Tajikistan,Unsuitable,Tier 2
Thailand,Good,Tier 2 Watch List
The Bahamas,Good,Tier 2
Timor-Leste,Unsuitable,Tier 2
Togo,Unsuitable,Tier 2
Tonga,Fair,Tier 2
Trinidad and Tobago,Fair,Tier 2 Watch List
Tunisia,Fair,Tier 2 Watch List
Turkey,Fair,Tier 2
Turkmenistan,Poor,Tier 2 Watch List
Tuvalu,,
Uganda,Poor,Tier 2
Ukraine,Fair,Tier 2 Watch List
United Arab Emirates,Good,Tier 2
United Kingdom,Excellent,Tier 1
United Republic of Tanzania,Poor,
United States of America,,Tier 1
Uruguay,Fair,Tier 2 Watch List
Uzbekistan,Poor,Tier 3 Auto-Downgrade
Vanuatu,Poor,
Vatican,,
Venezuela,Good,Tier 2 Watch List
Vietnam,Poor,Tier 2
West Bank,,
Western Sahara,,
Yemen,Unsuitable,Tier 3
Zambia,Poor,Tier 2
Zimbabwe,Unsuitable,Tier 3
