Mongolia,Member,Member,Member,,Member,Member,,,,,,5
Montenegro,Member,Member,Member,,Member,Member,,,,,Member,6
Morocco,Member,Member,Member,,Member,,,,,,Member,5
Mozambique,Member,Member,Member,,Member,,,,,Member,Member,6
Namibia,Member,Member,Member,,Member,,,,,Member,Member,6
Nauru,Member,Member,Member,,Member,,,,,,,4
Nepal,Member,Member,Member,,Member,,,,,,,4
Netherlands,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
New Zealand,Member,Member,Member,,Member,,Member,,,,Member,6
Nicaragua,Member,Member,Member,Member,Member,,,,,,Member,6
Niger,Member,Member,Member,,Member,,,,,Member,,5
Nigeria,Member,Member,Member,,Member,,,,,Member,Member,6
North Korea,Member,Member,Member,,Member,,,,,,,4
Norway,Member,Member,Member,,Member,Member,Member,Member,,,Member,8
Oman,Member,Member,Member,,Member,,,,,,,4
Pakistan,Member,Member,Member,,Member,,,,,,Member,5
Palau,Member,Member,Member,,Member,,,,,,,4
Palestinian Territories,,Member,Member,,Member,,,,,,,3
Panama,Member,Member,Member,Member,Member,,,,,,,5
Papua New Guinea,Member,Member,Member,,Member,,,,,,,4
Paraguay,Member,Member,Member,Member,Member,,,,,,,5
Peru,Member,Member,Member,Member,Member,,,,,,,5
Philippines,Member,Member,Member,,Member,,,,,,Member,5
Poland,Member,Member,Member,,Member,Member,Member,,Member,,Member,8
Portugal,Member,Member,Member,,Member,Member,Member,,Member,,Member,8
Qatar,Member,Member,Member,,Member,,,,,,,4
Republic of Congo,Member,,Member,,Member,,,,,Member,Member,5
Republic of Serbia,Member,Member,Member,,Member,Member,,,,,Member,6
Romania,Member,Member,Member,,Member,Member,,Member,Member,,Member,8
Russia,Member,Member,Member,,Member,Member,,,,,Member,6
Rwanda,Member,Member,Member,,Member,,,,,Member,Member,6
Saint Kitts and Nevis,Member,Member,Member,Member,Member,,,,,,,5
Saint Lucia,Member,Member,Member,Member,Member,,,,,,,5
Saint Vincent and the Grenadines,Member,Member,Member,Member,Member,,,,,,,5
Samoa,Member,Member,Member,,Member,,,,,,,4
San Marino,Member,Member,Member,,Member,Member,,,,,,5
Sao Tome and Principe,Member,Member,Member,,Member,,,,,Member,,5
Saudi Arabia,Member,Member,Member,,Member,,,,,,,4
Senegal,Member,Member,Member,,Member,,,,,Member,,5
Seychelles,Member,Member,Member,,Member,,,,,Member,,5
Sierra Leone,Member,Member,Member,,Member,,,,,Member,,5
Singapore,Member,Member,Member,,Member,,,,,,,4
Slovakia,Member,Member,Member,,Member,Member,Member,Member,Member,,,8
Slovenia,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Solomon Islands,Member,Member,Member,,Member,,,,,,,4
Somalia,Member,Member,Member,,Member,,,,,Member,Member,6
South Africa,Member,Member,Member,,Member,,,,,Member,Member,6
South Korea,Member,Member,Member,,Member,,Member,,,,Member,6
South Sudan,Member,Member,Member,,Member,,,,,Member,,5
Spain,Member,Member,Member,,Member,,Member,Member,Member,,Member,8
Sri Lanka,Member,Member,Member,,Member,,,,,,,4
Sudan,Member,Member,Member,,Member,,,,,Member,Member,6
Suriname,Member,Member,Member,Member,Member,,,,,,,5
Swaziland,Member,Member,Member,,Member,,,,,Member,,5
Sweden,Member,Member,Member,,Member,,,,Member,,Member,6
Switzerland,Member,Member,Member,,Member,Member,Member,,,,Member,7
Syria,Member,Member,Member,,Member,,,,,,,4
Taiwan,,,Member,,Member,,,,,,,2
Tajikistan,Member,Member,Member,,Member,Member,,,,,,5
Thailand,Member,Member,Member,,Member,,,,,,Member,5
The Bahamas,Member,Member,Member,Member,Member,,,,,,,5
Timor-Leste,Member,Member,Member,,Member,,,,,,,4
Togo,Member,Member,Member,,Member,,,,,Member,Member,6
Tonga,Member,Member,Member,,Member,,,,,,,4
Trinidad and Tobago,Member,Member,Member,Member,Member,,,,,,,5
Tunisia,Member,Member,Member,,Member,,,,,Member,Member,6
Turkey,Member,Member,Member,,Member,Member,Member,Member,,,Member,8
Turkmenistan,Member,Member,Member,,Member,Member,,,,,Member,6
Tuvalu,,Member,Member,,Member,,,,,,,3
Uganda,Member,Member,Member,,Member,,,,,Member,Member,6
Ukraine,Member,Member,Member,,Member,Member,,,,,,5
United Arab Emirates,Member,Member,Member,,Member,,,,,,,4
United Kingdom,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
United Republic of Tanzania,Member,Member,Member,,Member,,,,,Member,Member,6
United States of America,Member,Member,Member,Member,Member,Member,Member,Member,,,Member,9
Uruguay,Member,Member,Member,Member,Member,,,,,,,5
Uzbekistan,Member,Member,Member,,Member,Member,,,,,,5
Vanuatu,Member,Member,Member,,Member,,,,,,,4
Vatican,,,,,,Member,,,,,Member,2
Venezuela,Member,Member,Member,Member,Member,,,,,,Member,6
Vietnam,Member,Member,Member,,Member,,,,,,,4
Western Sahara,,,,,,,,,,,,0
Yemen,Member,Member,Member,,Member,,,,,,Member,5
Zambia,Member,Member,Member,,Member,,,,,Member,Member,6
Zimbabwe,Member,Member,Member,,Member,,,,,Member,,5
