pointlayername,header,topic,map,country,title,story,lat,lon,locationname
ICAOMember_2014_Key,,Promoting Prosperity,Border Security->International Civil Aviation Organization,Canada,U.S. Mission to the International Civil Aviation Organization,"Acting U.S. Permanent Representative to the International Civil Aviation Organization (ICAO) is Joseph L. Novak. In his role as representative, he is a member of the ICAO Council, where the US is a state of chief importance in air transport. Novak works to advance aviation safety and sustainability and develop new aviation standards and recommended practices through ICAO.  He also meets bi-laterally with any of ICAOﾒs 191 Member States to work upon mutually important issues such as aviation security, an issue discussed in a recent meeting with the representative from Colombia. ICAO is also currently working on how to handle the need for global flight tracking.",45.50867,-73.553992,"Montreal, Canada"
OASMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations->Organization of American States,United States,U.S. Permanent Mission to the Organization of American States,"Ambassador Carmen Lomellin has served as the Permanent Representative of the United States to the Organization of American States (OAS) since November 2009. In bilateral and multilateral discussions with the Organizations other 34 members, Ambassador Lomellian and her staff work to forge resolutions to solve problems in the Americas, such as supporting efforts for peace in Colombia, advancing universal access to education, and strengthening the inter-American human rights system.  The U.S. Delegation strongly supports OAS commitment to strengthen democracy, promote and protect human rights, and provide security for all citizens of the Americas.",38.907192,-77.036871,"Washington, D.C, United States"
OASMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations->Organization of American States,United States,U.S. Mission to the United Nations (New York),"Ambassador Samantha Power is the U.S. Permanent Representative to the United Nations (UN), where she advocates U.S. policy in the Security Council and General Assembly.  But her job also around the world to meet with key regional officials in the region and to assess situations the UN is working to resolve, issuing  pertinent reports, official remarks and statements. The U.S. Mission to the UN not only represents U.S. interests to the international community, but informs the U.S. government and public about ongoing and emerging issues in the UN and its sub-committees like the UN Childrenﾒs Fund (UNICEF).",40.712784,-74.005941,"New York City, United States"
EUMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations,Belgium,U.S. Mission to the European Union,"Ambassador Anthony Luzzatto Gardner serves as U.S. Ambassador to the European Union, the continentﾒs economic alliance.  The recently-agreed (YEAR) Transatlantic Declaration and the New Transatlantic Agenda have paved the way for closer US-EU relations to promote trade, democracy, peace, and development.  The U.S. in not a voting member of the EU, our Ambassador and delegation build bridges of cooperation and voice U.S. positions on political and economic situations that affect Europe and the world. The Mission also manages a plethora of State Department-based exchange programs including the Fulbright-Schuman exchange and develops programming and conferences for EU members, regional think tanks, and non-governmental organizations (NGOs) on policy and societal issues that are of mutual interest to Europe and the United States.",50.85034,4.35171,"Brussels, Belgium"
NATOMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations,Belgium,U.S. Mission to NATO,"Ambassador Douglas E. Lute serves as the Ambassador for the U.S. Mission to North Atlantic Treaty Organization (NATO). He coordinates closely with the President, the Secretary of State, and the Secretary of Defense to ensure that American actions and policies are presented to NATO and member governments. When crises arise around the world, he works with other representatives to craft an allied stance and provide assistance as needed.  The U.S. Mission works closely with is allies on a broad range of issues that stretch far beyond the Atlantic, including monitoring the Mediterranean Sea for anti-terrorism purposes, counter-piracy off the Horn of Africa, and NATOﾒs ballistic missile defense.",50.85034,4.35171,"Brussels, Belgium"
OECDMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations,France,U.S. Mission to the Organization for Economic Cooperation and Development,"Ambassador Daniel W. Yohannes represents the United States at the Organization for Economic Cooperation and Development (OECD). In his position as Ambassador to the OECD, Ambassador Yohannes works to promote a level playing field for U.S. businesses on the international market and strengthen multilateral trade. This includes organizing OECD export credits and monitoring taxation to protect businesses from double taxation. The U.S. delegation is also tackling corruption through the OECDﾒs Anti-Bribery Convention and helping developing countries to learn market-best practices through the OECDﾒs Development Assistance Committee.",48.856614,2.352222,"Paris, France"
FAOMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations,Italy,U.S. Mission to the UN Agencies in Rome,"Ambassador David J. Lane serves as the U.S. Representative to the UN Agencies in Rome including the UN Food and Agricultural Organization (FAO). At the FAO, he works with other countries to achieve global food security to eradicate hunger and malnutrition, eliminate poverty, and manage land and resources. Ambassador Lane also coordinates with U.S. agencies like USAID and the Department of Agriculture to develop effective policy and programming and travels to areas affected by FAO policy like Guatemala and Honduras.",41.872389,12.48018,"Rome, Italy"
UNESCOMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations,France,U.S. Mission to UNESCO,"Charg� d�Affaires Beth Poisson leads the U.S. Mission�s efforts to advance U.S. priorities at the United Nations Educational, Scientific and Cultural Organization (UNESCO), particularly to promote universal human rights, tolerance, and education.   Key policies include freedom of expression, education for girls and women, and science for development.  The Mission staff works to facilitate public-private partnerships, support Goodwill Ambassadors from the U.S., and deepen the relationship of U.S. National Commissioners to the Organization.",48.856614,2.352222,"Paris, France"
ASEANMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations,Indonesia,U.S. Mission to ASEAN,"Nina Hachigian is the Ambassador Designate for the U.S. Mission to the Association of Southeast Asian Nations (ASEAN) in Jakarta where the United States has had an official presence since June 2010. Recent U.S.-ASEAN political and security discussions have focused on the cooperative role the United States plays in maintaining peace and stability in the region, regional nuclear non-proliferation and security issues, and long-term concerns over the Korean Peninsula.  Economic engagement has seen the successful establishment of the Trade and Investment Framework Agreement which has enhanced development cooperation for capacity building efforts in technology, education, disaster management, food security, human rights, and trade facilitation.",-6.208763,106.845599,"Jakarta, Indonesia"
AUMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations,Ethiopia,U.S. Mission to the AU,"Ambassador Reuban E. Brigety, II currently serves as the U.S. Representative to the African Union (AU) as well as Permanent Representative to the UN Economic Commission of Africa. The goal of Ambassador Brigety and the U.S. Delegation is to partner with the African Union in ways that will strengthen democratic institutions, promote peace and stability, support sustainable economic development through increased trade and investment, and improve the lives and health of all Africans. This is possible through meetings and programming that brings together representatives from AU member states and the US Delegation as well as other high ranking US officials.",8.980603,38.757761,"Addis Ababa, Ethiopia"
UNHCRMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations,Switzerland,U.S. Mission in Geneva,"Includes U.S. Mission to the UN (UNHCR), U.S. Mission to the World Trade Organization, U.S. Delegation to the Conference on Disarmament, and U.S. Delegation to the Human Rights Council",46.198392,6.142296,"Geneva, Switzerland"
OSCEMember_2014_Key,,Promoting Prosperity,Multi-Lateral Organizations,Austria,U.S. Mission to the OSCE,"Ambassador Daniel Brooks Baer serves as the U.S. Representative to the Organization for Security and Cooperation in Europe (OSCE), speaking in the Permanent Council, the Organization's principal policy-making body, and the Forum for Security Cooperation. The Mission monitors implementation of the Conventional Armed Forces in Europe Treaty in the Joint Consultative Group and is represented in the Open Skies Consultative Commission. They coordinate with the rotating OSCE Chairmanship-in-Office and the OSCE's Secretariat, negotiate with the other national delegations in Vienna, and work closely with U.S. embassies and the OSCE field presences situated throughout the Balkans and the former Soviet Union.",48.208174,16.373819,"Vienna, Austria"
EndangeredSpecies-2014_Key,,Securing Peace,Transnational Crime->Poaching,Kenya,USFWS Provides Faster Care to Save Rhinos from Extinction,"In Laikipia, Kenya, the U.S. Fish and Wildlife Service (USFWS) is working hard to save rhinos, a species on the brink of extinction. Through the U.S. Rhinoceros and Tiger Conservation Fund, USFWS is creating an emergency response facility for rhino conservancies. This facility will help to improve the response time for veterinarians and capture specialists responding to rhinos in crisis. Covering much of central and northern Kenya, the USFWS hopes its efforts will help save both black rhinos and white rhinos from extinction.",-0.023559,37.906193,
EndangeredSpecies-2014_Key,,Securing Peace,Transnational Crime->Poaching,"Congo, Democratic Republic of the",USAID Fights Poaching in the DRC,"When USAID workers in the Democratic Republic of the Congo detected heavily armed elephant poachers, they worked with the Congolese Government to ensure that the elephants would not be killed. The group of poachers had overwhelmed under-trained park guards in Salonga National Park, home to rare forest elephants. More than 300 military personnel were dispatched to arrest the poachers and confiscate their firearms. Since this operation, nearly all signs of hunting have disappeared and the elephants have been able to return to the areas previously invested by the poachers.",-4.038333,21.758664,
EndangeredSpecies-2014_Key,,Securing Peace,Transnational Crime->Poaching,United Kingdom,London Conference Delegates Campaign Against Illegal Wildlife Trafficking,"Representatives from the Departments of State, Justice, and the Interior joined delegates from over 40 countries discuss wildlife trafficking and poaching around the world at the London Conference on the Illegal Wildlife Trade.  The countries issued a declaration citing high- level recognition of the issue and setting forth actions to be taken, including continued support of the Convention on International Trade in Endangered Species (CITES), eradication of the markets for illegal wildlife products, and strengthening law enforcement and legal deterrents.",51.507351,-0.127758,"London, United Kingdom"
EndangeredSpecies-2014_Key,,Securing Peace,Transnational Crime->Poaching,United States,State Department Hosts Anti-Poaching Leaders from Africa,"In May 2014, Secretary Kerry and the State Department hosted a conference with representatives from 12 African nations to discuss cooperative efforts in the global campaign to combat wildlife trafficking. In addition to their visit in Washington, these leaders visited several locations around the United States such as Yellowstone National Park and Everglades National Park to meet with wildlife officials and NGO leaders. This project reflects the National Strategy for Combatting Wildlife Trafficking through which the State Department works cooperatively with the Departments of Interior and Justice to strengthen international cooperation and build global law enforcement to stop poaching and wildlife trafficking.",38.907192,-77.036871,"Washington, D.C, United States"
EndangeredSpecies-2014_Key,,Securing Peace,Transnational Crime->Poaching,Nepal,DNA Database Can Help to Protect Endangered Bengal Tigers,"USAID workers in Nepal are helping local scientists develop a national DNA database of the endangered Bengal tiger. Knowing how many tigers are left and better monitoring their activity is critical to protecting them and their habitats. Though this database is only for Bengal tigers living in Nepalﾒs Terai Arc Landscape, USAID and law enforcement agencies hope that this practice and standardization of information would be expanded to crackdown on all wildlife smuggling operations in South Asia. This would help protect not only the Bengal tigers in Nepal, but endangered and threatened animals globally.",28.394857,84.124008,
EndangeredSpecies-2014_Key,,Securing Peace,Transnational Crime->Poaching,Indonesia,U.S. Helps Asia Pacific Economic Cooperation Fight Wildlife Trafficking,"In Sumatraﾒs Gunung Leuser rainforest, U.S. diplomats scan the trees looking for the endangered Sumatran orangutan.  Soon, a flash of orange moved through the branches as a mother and her wide-eyed infant swung into view along with three more orangutans. The American delegation was present to propose a more coordinated way for the 21 member states of the Asia Pacific Economic Cooperation to save the 7300 primates that remain in the wild, threatened by loss of habitat and wildlife trafficking.  It is their hope that this multinational forum will help national governments identify, capture, and prosecute traffickers. In addition to this State Department effort, USAID has provided funds to manage and protect more than 2.2 million hectares of forest where these orangutans live.",-0.789275,113.921327,
IntellectualPropertyRights,,Securing Peace,Transnational Crime->Intellectual Property Theft,Macedonia,Educating Macedonians to Stop Intellectual Property Theft,"To educate citizens of Macedonia about the dangers of counterfeit goods, the U.S. Embassy worked with the American Chamber of Commerce (AmCham) and the Government of Macedonia on a mobile IPR caravan that displayed counterfeit versus legitimate cosmetics, food, and medicine in the central squares of five of the largest cities in Macedonia. Embassy, AmCham, and government officials staffing the caravan asked quiz show style questions and awarded prizes to interested participants. Concurrently, the government conducted a series of 40 police raids on markets, DVD shops, and dental offices where officials suspected copyright violations. Officials seized counterfeit goods, imposed 50,000 euros in fines, and filed 24 charges against infringers. The Embassy noted that Macedonian customs officials have also stopped a significant number of counterfeit items from entering the countryﾒs markets, notably fake Gillette and Nike products.",41.608635,21.745275,
IntellectualPropertyRights,,Securing Peace,Transnational Crime->Intellectual Property Theft,Thailand,Cutting-Edge Technology Showcased at Thai Science Expo,"To headline the celebration of ﾓScience and Tech Monthﾔ in August, the U.S. Embassy in Bangkok organized a 1,100 square foot exhibit at Thailandﾒs National Science Fair Expo showcasing high tech products from five American companies. The exhibit gave visitors the opportunity for hands-on experience with cutting-edge technologies from top American companies in the region. Visitors played a quiz game about the history of U.S. innovation and intellectual property, with answers found on a timeline of notable American innovations posted on the exhibitﾒs front wall. They also watched anti-piracy advertisements featuring famous Thai performing artists, a campaign developed by Embassy Bangkok in 2012. The 16-day Science Fair drew more than 1.1 million visitors, most of whom were primary and secondary school groups bused in from around Thailand.",15.870032,100.992541,
IntellectualPropertyRights,,Securing Peace,Transnational Crime->Intellectual Property Theft,South Africa,Embassy Pretoria Raises Awareness on World Intellectual Property Day,"For World Intellectual Property Day, Embassy Pretoria partnered with several South African government agencies and the private sector, including Microsoft and the South African Federation Against Copyright Theft (SAFACT), to raise public awareness about the damage intellectual property (IP) infringement does to the South African economy. The partners hosted two free film festivals celebrating IP that featured 2013 Oscar winner ""Searching for Sugarman"" and other titles and South African pop star Lira and other music industry personalities showed their support and joined the events. The festivals launched the partnersﾒ bold new anti-piracy campaign titled ""Be Your Own, Buy Your Own"" that encourages South African consumers to replace a culture of counterfeit with a culture of copyright. The involvement of industry, academia, and government exemplified the comprehensive multi-stakeholder approach Embassy Pretoria has pursued as the most effective way to raise public awareness around IP protection.",-30.559482,22.937506,
IntellectualPropertyRights,,Securing Peace,Transnational Crime->Intellectual Property Theft,Brazil,ﾓVideo Legalﾔ Increases Understanding of IP Piracy in Brazil,"In November 2012, Consulate General Sao Paulo completed the second iteration of ﾓVideo Legal,ﾔ an award-winning joint program with Microsoft Brazil and the American Chamber of Commerce, funded in part by EB through its intellectual property rights (IPR) awareness project. This cycle of the program tripled its outreach to 30 Sao Paulo public schools, raising awareness of IPR and inspiring students to create original videos on various IPR themes. Surveys taken before and after the contest showed students dramatically increased their understanding of the sources, dangers, and consequences of IP piracy. On November 23, some 100 students watched the top-rated videos and performed live music at a festive award ceremony. The winning student groups were hosted at the Brazil headquarters of Google and Microsoft in February 2013.",-14.235004,-51.92528,
IntellectualPropertyRights,,Securing Peace,Transnational Crime->Intellectual Property Theft,Fiji,Embassy Fiji Teams Up with Local Musicians to Combat Media Piracy,"On July 21, 2012, Embassy Suva in Fiji collaborated with Kulture Entertainment, Fiji Broadcasting Corporation, and Procera Music Shops to present a free ﾓMusicians Against Piratesﾔ concert. The concert featured more than 50 of the countryﾒs top artists who volunteered to perform as a way to raise awareness about the effects of media piracy. Although protected by the Fiji Copyright Act, local artists continue to be significantly affected by the sale of pirated copies of their music. The Managing Director of Procera Music Shops estimated the loss at $25,000.00 per album. During the concert and in all media, the Fijian government was cited for its work to stop vendors of pirated media from benefiting from the work of others, but stressed the responsibility of consumers to seek out original products. Post estimates that through live attendance, radio, web, print, and television, the eventﾒs IPR messaging would have collectively reached some 500,000 Fijiansﾗmore than half of the population.",-17.713371,178.065032,
IntellectualPropertyRights,,Securing Peace,Transnational Crime->Intellectual Property Theft,Guatemala,Embassy Guatemala Educated Health Care Workers on Dangers of Counterfeit Medicine,"Embassy Guatemala hosted a conference in San Marcos, an area of Guatemala near the Mexican border, to educate 85 health care workers including nurses and staff who do outreach in the rural area health centers, on the dangers of counterfeit medicine.  At the end of the conference, the attendees suggested that a poster would be the best way to reach the ethnically-diverse population in rural markets. Working with FEDEFARMA who obtained free design services and low cost printing, the Embassy was able to produce 30,000 posters that the Ministry of Health distributed to all health care centers throughout the country where they will be seen by hundreds of thousands of Guatemalans.",15.783471,-90.230759,
EndangeredSpecies-2014_Key,,Protecting Resources,Environmental Conservation,Madagascar,Learning to Love Lemurs,"Madagascar, the worldﾒs fourth-largest island, is home to many of the worldﾒs unique and rare animals including lemurs, primates native only to that country. Unfortunately, lemurs are among the islandﾒs most-threatened animals. According to the International Union for Conservation of Nature, more than 90 percent of lemur species are endangered or on the verge of extinction. One of the serious threats to lemurs is loss of habitat due to a common agricultural practice called ﾓslash and burnﾔ, when farmers cut down and burn forests to clear land for planting crops. The effect on the plants and animals that live within those forests is devastating. In 2011, the U.S. Embassy launched a campaign promoting Madagascarﾒs national parks as a vacation destination for Malagasy. This campaign aims to inspire more Malagasy tourists to visit Ranomafana National Park in southern Madagascar with participation by some of Madagascarﾒs top artists and entertainers. Since then, the number of tourists coming to the park from within Madagascar has increased by more than 50 percent. Not only are more Malagasy coming to the park, but more are expressing an interest in protecting it.",-18.766947,46.869107,
PEPFAR_Key,,Saving Lives,Health Issues->HIV/AIDS PEPFAR,Botswana,The Faces of an AIDS-Free Generation,"Thata and Thatayaone are 7-year-old twins. One is a smiling little girl with lots of energy, quick to give out a hug to even a stranger. The other is a quiet, inquisitive boy, who would rather get to know you first before giving up a smile. These two healthy young children represent the promise of good things to come ﾖ they are the faces of an AIDS-free generation. Born to HIV-positive parents in 2006, Thata and Thatayaone escaped the virus, thanks to a successful Prevention of Mother-to-Child Transmission Program (PMTCT). Botswana, with support from PEPFAR, has been able to reduce the rate of HIV transmission from mother to child to less than 4 percent, a rate comparable to Western countries. ﾓItﾒs been a relief knowing early on they were negative. They are happy and healthy kids, just normal,ﾔ said Balekanye Mosweu, the 32-year-old mother of the twins. ﾓThey are special in their own ways.ﾔ",-22.328474,24.684866,
PEPFAR_Key,,Saving Lives,Health Issues->HIV/AIDS PEPFAR,Nambia,Overcoming Healthcare Worker Shortages in Africa,"Sub-Saharan Africa carries 25 percent of the global HIV/AIDS burden with fewer than 3 percent of the worldﾒs health care workers. In an innovative and collaborative effort to address these shortages, the Medical Education Partnership Initiative (MEPI) was formed in October 2010. MEPI currently supports thirteen African educational institutions in a dozen countries through five-year grants to develop, expand, and enhance models of medical education. Through MEPI PEPFAR supports efforts to increase the number and quality of new health care workers, strengthen medical education systems in the African countries in which they exist, and build clinical and research capacity in Africa as part of a retention strategy for faculty of medical schools and clinical professors. The overarching goal of this initiative is to build human capacity for health in Africa to help address their significant gap in HRH.",-22.95764,18.49041,
PEPFAR_Key,,Saving Lives,Health Issues->HIV/AIDS PEPFAR,Botswana,A Nurseﾒs Commitment to a Better Healthcare Workforce,"One woman takes to heart the idea of an AIDS-free generation. Opelo Rankopo is a skilled nurse in Botswana, a country that faces a severe shortage of health care workers with less than four combined doctors, nurses, and midwives per 10,000 people. This falls far below the 23 health care workers per 10,000 people minimum threshold established by the World Health Organization. In 2011, Opelo was selected to receive an Afya Bora Fellowship in Global Health Leadership. This innovative one-year fellowship, supported by PEPFAR, works to address key gaps in health professionals working in global health with the ultimate goal of improving health-related service delivery in Africa. With the knowledge and skills she gained through this Fellowship, Opelo says she is better able both to serve the patients in front of her each day and to promote the sustainability of essential health care services for the patients of tomorrow.",-22.328474,24.684866,
PEPFAR_Key,,Saving Lives,Health Issues->HIV/AIDS PEPFAR,Kenya,HIV Positive and Living Positively,"Daniel, 37, is from a rural village in Siaya County, Kenya. He had dreamed of becoming a doctor but in his fifth year of school, he fell gravely ill. At a time when no one in Kenya spoke publicly about HIV and AIDS, Daniel was diagnosed as HIV-positive. Daniel says, ﾓBy then, I was so sick that everybody knew I was going to die, including the clinicians in the wards; however, I survived. After my ﾑmiraculousﾒ recovery, there was a radical change of thinking among the medical fraternity. They now knew that even in sub-Saharan Africa HIV could be treated ﾖ Thatﾒs when the Academic Model Providing Access to Healthcare (AMPATH) program was born.ﾔ Daniel also launched the first HIV/AIDS support group in the North Rift Region of Kenya and works with AMPATH, sponsored by PEPFAR since 2004. Daniel adds, ﾓI may have not realized my dream of becoming a medical doctor, but I believe have I have saved many lives, in a different way. Because of PEPFAR, I am pursuing my MPH and am also able to make future plans for myself and my family, and also cater for their needs.ﾔ",-0.023559,37.906193,
PEPFAR_Key,,Saving Lives,Health Issues->HIV/AIDS PEPFAR,C�te d�Ivoire,New Treatment Option Saves HIV-positive Women from Cervical Cancer,"Mariam, an HIV-positive mother of three, was shocked to hear that a lesion on her cervix, undetected in scans the previous year, had grown too large to be treated with cryotherapy. The advised treatment option would cost $1,400, an amount far beyond the subsistence mean s of Mariam.  But a midwife called from the hospital with news that an outpatient treatment called LEEP for large cervical lesions was available and more importantly, it was free through the work of PEPFAR. PEPFAR introduced the scanning that detected Mariam�s cancer and treatment for it through cryotherapy in 20 major cities in C�te d�Ivoire. Two hospitals have also been upgraded to begin offering the LEEP treatment. Mariam underwent this LEEP procedure with no complications and said she feels �Relieved and truly free.�",7.539989,-5.54708,
PEPFAR_Key,,Saving Lives,Health Issues->HIV/AIDS PEPFAR,Saint Lucia,Girls-at-Risk to Girls Empowered,"In the impoverished fishing village of Anse-La-Raye, the Girl Guides of Saint Lucia, with the support of a small PEPFAR grant, launched the Prevention and Healthy Lifestyles Training Program.  The program, run by a Peace Corps volunteer and a St. Lucian citizen, provides training to Girl Guides to reduce their vulnerability to HIV/AIDS in order to lead healthy, productive lives. The program also conducts skill-building sessions to groups that wish to further the design and management of community HIV prevention projects. Along with hosting these sessions, Anse-La-Raye Girls Guides created HIV ""fact books"" to document information, reflections, and lessons learned since the implementation of the Lifestyles program. Additionally, they made and posted HIV education and healthy lifestyles posters around the island on World AIDS Day, and hosted teach-ins for their mothers, aunts and grandmothers.",13.909444,-60.978893,
PEPFAR_Key,,Saving Lives,Health Issues->HIV/AIDS PEPFAR,Uzbekistan,Preventing HIV/AIDS in Prison,"With PEPFAR support, Tatyana Nikitina, the director of a community organization that works to prevent the spread of HIV/AIDS in Uzbekistan, has developed a training course on HIV/AIDS for prisoners. Four prison officials and 22 female prisoners participated in the program, where they learned about prevention techniques and gained skills and materials for disseminating HIV/AIDS awareness information to other prisoners. Participants learned about anti-retroviral treatment, stigma reduction techniques, and methods for supporting people living with HIV/AIDS. ""I saw that the training helped women prisoners believe that life continues,"" said Tatyana Nikitina. She is now developing a series of training sessions on HIV/AIDS prevention for male prisoners in Uzbekistan.",41.377491,64.585262,
